category,text
entertainment,berlin cheers anti-nazi film german movie anti-nazi resistance heroine drawn loud applause berlin film festival. sophie scholl final days portrays final days member white rose movement. scholl arrested beheaded brother hans distributing leaflets condemning abhorrent tyranny adolf hitler. director marc rothemund said: feeling responsibility keep legacy scholls going. must somehow keep ideas alive added. film drew transcripts gestapo interrogations scholl trial preserved archive communist east germany secret police. discovery inspiration behind film rothemund worked closely surviving relatives including one scholl sisters ensure historical accuracy film. scholl members white rose resistance group first started distributing anti-nazi leaflets summer . arrested dropped leaflets munich university calling day reckoning adolf hitler regime. film focuses six days scholl arrest intense trial saw scholl initially deny charges ended defiant appearance. one three german films vying top prize festival. south african film version bizet tragic opera carmen shot cape town xhosa language also premiered berlin festival. film entitled u-carmen ekhayelitsha carmen khayelitsha township story set. performed -strong music theatre troupe debut film performance. film first south african feature years second nominated golden bear award.
business,virgin blue shares plummet % shares australian budget airline virgin blue plunged % warned steep fall full year profits. virgin blue said profits tax year march would % % lower previous year. sluggish demand reported previously november december continues said virgin blue chief executive brett godfrey. virgin blue % owned richard branson struggling fend pressure rival jetstar. cut full year passenger number forecast approximately .% virgin blue reported % fall first quarter profits august due tough competition. november first half profits due slack demand rising fuel costs. virgin blue launched four years ago roughly one third australia domestic airline market. national carrier qantas fought back budget airline jetstar took skies may . sydney-listed virgin blue shares recovered slightly close % wednesday. shares major shareholder patrick corporation owns % virgin blue dropped % close.
business,crude oil prices back $ cold weather across parts united states much europe pushed us crude oil prices $ barrel first time almost three months. freezing temperatures heavy snowfall increased demand heating fuel us stocks low. fresh falls value dollar helped carry prices $ mark first time since november. barrel us crude oil closed $. $. new york tuesday. opec members said tuesday saw reason cut output. although last year peak $. barrel reached october prices well average $.. brent crude also rose london trading adding $. $. close. much western europe north east america shivering unseasonably low temperatures recent days. decline us dollar five-week low euro also served inflate prices. dollar moved sharply overnight oil following said chris furness senior market strategist cast. dollar continues weaken oil obviously higher. several opec members said cut production unlikely citing rising prices strong demand oil asia. agree need cut supply prices much fathi bin shatwan libya oil minister told reuters. think need cut unless prices falling $ barrel added. opec closely watches global stocks ensure excessive supply market. arrival spring northern hemisphere focus attention stockpiles us crude gasoline % higher time last year. heavy stockpiles could help force prices lower demand eases.
politics,hague given pm ambition former conservative leader william hague says stand leadership given ambition prime minister. mr hague told daily telegraph would find life dominated politics boring unfulfilling. mr hague stepped party election defeat rule return front bench. also told paper hopes remain mp richmond north yorks start family wife ffion. mr hague recently published biography william pitt younger also said wanted continue writing books speech-writing. told newspaper: know whether ever go back front rush me. asked would stand leadership mr hague replied: no. definitely not. determination stay away central role disappoint senior conservative members say party needs him. tim collins shadow education secretary said last week would huge boost party mr hague returned front bench. mr hague became mp leader opposition . said: feel fortunate age crammed entire political career. cabinet leader party branch things...it liberating feeling. mr hague added may misjudged ambition prime minister. maybe driven politics thought said.
sport,moya emotional davis cup win carlos moya described spain davis cup victory highlight career beat andy roddick end usa challenge seville. moya made missing spain victory injury beating roddick - - (-) - (-) give hosts unassailable - lead. woken many nights dreaming day said moya. energy focused today. lived today think live again. spain davis cup title came two years ago valencia beat australia. moya nicknamed charly admitted: davis cup dream bit nervous outset. people said obsessed think better way. helps reach goals obsessed. really incredible get winning point really something. spanish captain jordi arrese said: charly played great game. opportunity let us down. lost three times roddick day beat him. waiting years position. spain victory also remarkable performance rafael nadal beat roddick opening singles. aged years days mallorcan became youngest player win davis cup. great way finish year said nadal afterwards. us coach patrick mcenroe wants roddick rest team play tennis clay hone skills surface. think help guys even slow hard courts learn mix things little bit play little bit smarter tactically better. obviously unrealistic say going start playing constantly clay schedule. certainly think put work appropriate time play couple events play guys best stuff said mcenroe. roddick left frustrated losing singles slow clay seville olympic stadium. tough felt like whole time one top three clay-courters world said american. chances convert them. bottom line better us weekend. came took care business beat us. simple that.
business,korean credit card firm rescued south korea largest credit card firm averted liquidation following one trillion ($m; £m) bail-out. lg card threatened collapse huge debts firm creditors former parent stepped rescue it. consortium creditors lg group family owned conglomerate put $m stabilise firm. lg card seven million customers collapse would sent shockwaves country economy. firm creditors % lg card trying agree deal secure future several weeks. took control company january avoided bankruptcy $.bn bail-out. threatened delist company move would triggered massive debt redemptions forced company bankruptcy unless agreement reached future funding. lg card need financial aid laah chong-gyu executive director korea development bank one firm creditors said. agreement see trillion debt converted equity. purpose capital injection avoid delisting goal met david kim analyst sejong securities told reuters. south korea consumer credit market slowly recovering crisis credit bubble burst millions consumers fell behind debt repayments. lg card returned profit september needed capital avoid thrown market. south korea stock exchange delist firm debt exceeds assets two years running.
politics,howard backs stem cell research michael howard backed stem cell research saying important people frightened future. controversial issue feature recent us presidential election george bush opposed extending it. tory leader argued moral case embracing science could help victims alzheimer parkinson motor neurone disease. believe duty offer hope millions people suffer devastating illnesses said. use embryonic stem cells uk already allowed. stem cells master cells ability develop body tissue types. scientists hope growing cells laboratory programme form specific tissue kidney heart even brain tissue. mr howard acknowledged genuine concerns stem cell research. argued: frightened change nostalgic past must optimistic future. politicians must create right framework great potential science harnessed benefit mankind. life expectancy average briton around mid-s society responsibility enhance quality people lives grow older. know many people concerned stem-cell research. fearful meddling see stuff souls. respect concerns. also believe duty offer hope millions people suffer devastating illnesses like parkinson multiple sclerosis motor neurone disease alzheimer saw papers today possibly heart problems. mr howard acknowledged easy answers issue necessary courage know morally right added: course stem cells still recent discovery. research needs done. must look potential responsible grown-up way. hopes millions people rest could achieved. former superman actor late christopher reeve advocate research paralysed horse riding accident. mr howard made remarks speech westminster conservative national women committee ambitions values.
sport,connors boost british tennis former world number one jimmy connors planning long-term relationship lawn tennis association help unearth next tim henman. american spent three days lta annual elite performance winter camp la manga earlier week. britain right attitude said connors. involved lta better. short-term arrangement confusing. kids ask: lta chief executive john crowther added: relationship jimmy already started develop coaches players said us like it. want use jimmy number weeks year hope beginning good long-term relationship. camp played host leading senior junior players including greg rusedski arvind parmar anne keothavong. la manga amazing site take bunch kids want best said connors speaking queen club london. impressed coaches way kids went workouts feeling put every practice had. interesting see kids desire passion brought coaches surrounding them. instilling importance work practice something buy. know given give back effort every minute practice that. speaking la manga lta performance director david felgate told bbc sport: jimmy fantastic players coaches humble considering achieved. worked coaches hopefully grow get individual relationship players get know them. made clear word go want short-term. -week-a-year job life passion coaches. respects wants involved real input. would stake reputation something going successful connors also agreed commentate bbc next year wimbledon championships. work second week tournament.
business,japanese banking battle end japan sumitomo mitsui financial withdrawn takeover offer rival bank ufj holdings enabling latter merge mitsubishi tokyo. sumitomo bosses told counterparts ufj decision friday clearing way conclude trillion yen ($bn) deal mitsubishi. deal would create world biggest bank assets trillion yen ($. trillion). sumitomo exit ends high profile fight japanese bank history. ufj holdings japan fourth-largest bank centre fierce bid battle last year. sumitomo japan third-largest bank tabled higher offer ufj rival valuing company $bn. however ufj management known prefer offer mitsubishi tokyo financial group (mtfg) japan second-largest bank. concerns also raised sumitomo ability absorb ufj former admitted defeat. believe market investors accept ufj-mtfg merger sumitomo said statement. given ongoing integration ufj mtfg operations persisting proposal may best interests shareholders ufj s. mitsubishi takeover ufj japan largest-ever takeover deal still approved shareholders two firms. however expected formality. sumitomo may turn attention deepening ties daiwa securities another japanese financial firm. two set merge venture capital operations speculation could lead full-blown merger. japanese banks increasingly seeking alliances boost profits.
tech,games maker fights survival one britain largest independent game makers argonaut games put sale. london-based company behind harry potter games sacked employees due severe cash crisis. administrators told bbc news online selling argonaut way save run cash. argonaut warned low cash days ago shares suspended trading london stock exchange. argonaut making games years one largest independent games developers uk. along headquarters north london operates studios cambridge sheffield. argonaut behind harry potter games provided healthy flow cash company. like software developers argonaut needed constant flow deals publishers. signs trouble emerged august warned heading losses £m financial year due delays signing new contracts games. new deals delayed leading argonaut warn mid-october running cash suspend trading shares london stock exchange. part cost-cutting measures employees fired. news £m loss came knew going redundancies said jason parkinson one game developers sacked argonaut. lot people suspected argonaut trouble time told bbc news online. mr parkinson said staff told job losses necessary save argonaut going under. start year company employed people. latest round cuts staff argonaut headquarters edgware north london morpheme offices kentish town london add monsters base cambridge. argonaut called administrators david rubin partners friday find way rescue company collapse. spent weekend going company finances concluded way save business put sale. administrator told bbc news online costs restructuing would high partly overheads company four premises across uk. said hopeful could save jobs selling business saying expressions interest several quarters looking quick sale. administrator said would ensure staff made redundant would receive wages redundancy holiday pay due hopefully christmas.
tech,security warning fbi virus us federal bureau investigation warning computer virus spread via e-mails purport fbi. e-mails show come fbi.gov address tell recipients accessed illegal websites. messages warn internet use monitored fbi internet fraud complaint center. attachment e-mail contains virus fbi said. message asks recipients click attachment answer questions internet use. rather questionnaire attachment contains virus infects recipient computer according agency. clear virus infected computer. users warned never open attachment unsolicited e-mails people know. recipients similar solicitations know fbi engage practice sending unsolicited e-mails public manner fbi said statement. bureau investigating phoney e-mails. agency earlier month shut fbi.gov accounts used communicate public security breach. spokeswoman said two incidents appear unrelated.
tech,halo heralds traffic explosion growing popularity online gaming could spell problems net service firms warns network monitoring company sandvine. issued warning following analysis shows traffic xbox game network increased fourfold launch day halo . november traffic explosion continued december said sandvine. service providers need make sure networks cope increasing demands bandwidth. well popular single-player title halo connected microsoft subscription-based broadband network xbox live. gamers want play online create clan team take others see well compare. surge numbers huge demands bandwidth wake-up call industry must ensure networks cope increases traffic said sandvine chief technology officer marc morin. bid cope ease congestion providers increasingly making networks intelligent finding using bandwidth what. could become common charge people amount bandwidth use. explosion xbox live traffic attributed halo seen clarion call said. isps need enhance broadband experience high-end users prioritising reserving bandwidth games added. one main factors spoils online gaming lag noticeable delay gamer clicking mouse keyboard happens online gaming world. gamers tend migrate toward networks lowest lag analysing traffic become increasingly important service providers hold bandwidth-hungry gamers said lindsay schroth analyst research firm yankee group. competitive broadband environment operators need differentiate way offer access services like live-play gaming said. countries korea high levels fast net connections homes online gaming hugely popular.
sport,bates seals takeover ken bates completed takeover leeds united. -year-old former chelsea chairman sealed deal gmt friday bought % stake club. said: delighted stepping mantel fantastic club. recognise leeds great club fallen hard times. lot hard work ahead get club back belongs premiership help fans everything can. bates bought stake guise geneva-based company known forward sports fund. revealed part plan buy back leeds elland road stadium thorp arch training ground due course. going tough jon first task stabilise cash flow sort remaining creditors bates added. light end long tunnel. past year matter firefighting start running club again. outgoing leeds chairman gerald krasner said: deal ensures medium long term survival club believe mr bates proposals totally benefit club. content mr bates leeds united continue consolidate move forward. took leeds united march club debt £m since date board succeeded reducing debt £m. worked tirelessly solve problems leeds united. eighty percent problems already overcome came agreement mr bates secure ongoing success. krasner revealed consortium asked remain background club undisclosed period help ensure smooth hand-over. stay unpaid capacity peter lorimer continue role director point contact fans peter mccormick serve consultant incoming board. outgoing directors agreed leave loans £.m company next four years. leeds new-look board understood lorimer joined former chelsea finance director yvonne todd bates lawyer mark taylor. krasner refused give details finances involved takeover. told bbc five live: going figures. ken wants give him. tell money used for. dea l money current board. last four months never saw cheques week one person. stretching figures discuss internal arrangements. bates stepped chelsea chairman march last year following roman abramovich £m takeover stamford bridge. may made proposal invest £m sheffield wednesday rejected club. sebastien sainsbury close takeover leeds withdrew £m offer last week. efforts failed revealed would take £m stage takeover club also lose £m next six months. club brink administration deduction points football league bates arrival investment spared prospect.
sport,cole faces lengthy injury lay-off aston villa carlton cole could six weeks knee injury. striker season-long loan chelsea picked knock england under- match holland earlier month. carlton action four six weeks bad challenge said villa boss david leary. able tell whether need operation maybe next week. whether operation got left chelsea. cole also struggled ankle problem earlier season unable rest leary shortage strikers. return fitness darius vassell four months broken ankle emergence luke moore alleviated villa manager problems department.
tech,mobile audio enters new dimension mobile phones move closer ubiquitous all-in-one media player audio becoming ever important. good sound small device sound buzzing bee jumps left right disappearing around back head. surround sound demo unremarkable heard multi-speaker home cinema system startling emerging small mobile phone. british firm sonaptic one number companies developed audio technology emerges stereo speakers. firms amd srs offer stereo-widening technology mobile phones. sonaptic managing director david monteith says firm company offer positional audio mobile. quite basic technologies making sound seem bit bigger headphones bit nicer. no-one really tried make proper positional audio individual channel moved around. sonaptic working japanese mobile network ntt docomo set standards audio mobile phones. last months handsets nec fujitsu mitsubishi released japanese marker chips produced yamaha rohm sonaptic technology. technology around pcs games consoles time making efficient go small consumer device like mobile phone said mr monteith. technology works applying science psychoacoustics grew medical research done company research director dr alastair sibbald. basically trying fool ears thinking sound coming areas actually t. brain uses certain bits information effectively synthesising mobile phone handset. structure ear works encoder sound helping brain understand sound emanating. sonaptic audio processing algorithms mimic encoding giving impression sound coming left right behind listener fact coming single source. mr montieth says: sound one side get one ear right bend around head get left ear. shape ear causes differences sound one ear other. synthesising differences. sonaptic hopes technology big impact growing market mobile gaming music downloading. handhelds often limitations screens small definition. want get impact media running either movie game watching tv want immersive technology help. fishing game first title use technology creating sound field gamer plays. driving games shoot em ups using technology development. technology also used music giving songs much expansive immersive feel. sonaptic offers technology chip software release new version significantly improves efficiency audio processing. important use % processor otherwise able play game handset explained mr montieth. company looking us european markets working network vodafone. focused first japan advanced mobile phone market. knew japan would first place handsets could use technology. handsets uk next six months.
sport,moya fights back indian title carlos moya became first man successfully defend chennai open title beating four-times finalist paradorn srichaphan - - - (/). spaniard donated £ prize money relief efforts victims asian tsunami. final close throughout thai second seed srichaphan winner closing first set. moya took second set bouncing back - decider force win tie-break. moya confirmed afterwards: donating prize money tournament tsunami victims hoping makes difference lives. contribution follows pledges four players donate prize money tournament went ahead december disaster far claimed least lives. scrichapan said would donate unspecified amount relief work thailand people killed. atp announced would contribute us$ tournament fee unicef emergency relief fund tamil nadu. atp tour sponsor mercedes said would also contribute increasing atp donation us$ .
entertainment,career honour actor dicaprio actor leonardo dicaprio exceptional career honoured santa barbara international film festival. star presented award martin scorsese directed oscar-nominated movie aviator. lifetime achievement award completely utterly surreal given years old dicaprio said. almost years now. done quite films. retrospective movies shown. really exciting really love added. want rest life. dicaprio began movie career horror film critters moving onto roles basketball diaries romeo juliet titanic gangs new york. achievement award created commemorate california festival th anniversary coincided dicaprio portrayal millionaire howard hughes aviator. veteran actress jane russell starred hughes film outlaw said impressed dicaprio quest authenticity previously discussed role her. happy (dicaprio) came cared come find (hughes) really like said. aviator taken pole position year oscars race nominations including nominations best film best actor dicaprio best director scorsese.
tech,mobile gig aims rock g forget going crowded bar enjoy gig latest darlings music press. could also live gig mobile via latest third generation (g) video phones. rock outfit rooster playing billed first ever concert broadcast phone tuesday evening london venue. -minute gig due phone cast g mobile phone operator . g technology lets people take watch send video clips phones well swap data much faster g networks like gsm. people g phones uk already download football music clips handsets. fans london-based band pay five pounds ticket need g handset. paid come go much like expect customers mobile said spokesperson belinda henderson. like going concert hall except virtually there. company behind trial hopes learn people use video phones. looking long people stay average streams. people may stay whole time may dip said ms henderson. actually expect people dip mobile things. looking music way persuading people take latest video phones. already planning regular gigs throughout . intermission course would still able make phone call.
politics,terror suspects face house arrest uk citizens suspected involvement terrorism could face house arrest part series new measures outlined home secretary. comes law lords ruled detention foreign terror suspects without trial breached human rights. charles clarke planned control orders mean anyone suspected involved terrorism could subject house arrest curfews tagging. law society dubbed mr clarke new proposals abuse power deals already sought deport foreign detainees mainly held belmarsh prison london current laws introduced us terror attacks september . mr clarke said efforts would continue deport countries origin algeria tunisia egypt jordan without facing torture death. proposed changes prompted house lords ruling home secretary could order british citizens foreign suspects could deported face house arrest measures restrictions movements limits use telephones internet. british citizens included changes law lords said current powers discriminatory could used foreign suspects. mr clarke also said intelligence reports showed british nationals playing significant role terror threats. human rights lawyer clive stafford-smith said plans abuse human rights britain mr clarke said prosecutions government first preference promised powers would used serious cases independent scrutiny judges. told mps: remains public emergency threatening life nation. accepted law lords ruling argued detention powers helped prevent attacks deter terrorists. current detainees would freed new powers place still considered national security threat told mps. calls rules wire-tap intercept evidence allowed used courts mr clarke refused back change. said intercept evidence small part case men could used could put sources lives risk. terror suspects held indefinitely belmarsh prison london. conservative shadow home secretary david davis worried extending special powers cover british citizens. warned: throughout history internment generally backfired resentment creates. unless process clearly home secretary could find confining one known terrorist recruit unknown terrorists. suggested changing law let security-cleared judges view evidence gathered phone-tapping could allow terror cases come court. liberal democrat spokesman mark oaten also backed use wire-tap evidence. said standard proof new powers would high indeed asked whether ministers looked measures fitted human rights laws. shami chakrabarti human rights group liberty joined calls intercept evidence allowed trials. said: adherence rule law game cat mouse. government swap one human rights opt another.
entertainment,halloween writer debra hill dies screenwriter producer debra hill best known work horror classic halloween died los angeles aged . hill suffering cancer co-wrote film starred jamie lee curtis babysitter terrorised psychopath. directed john carpenter made $m (£.m) worldwide record independent film time. hill also worked carpenter escape new york fog. born new jersey hill began career production assistant worked way ranks becoming assistant director second-unit director began collaborating carpenter. regarded many pioneering woman film taking jobs commonly taken men. back started women industry said . assumed make-up hair person script person. never assumed writer producer. took look around realised many women carve niche myself. carpenter said working hill one greatest experiences life ground trailblazed beginning followed anyone. incredibly capable talented said. carpenter hill collaborated number halloween sequels including halloween ii halloween: resurrection halloween: curse michael myers. later career hill formed production company friend lynda obst making string hit films including oscar nominee fisher king teen comedy adventures babysitting. films included stephen king adaptation dead zone clue comedy based board game cluedo. pursued work tv although reunited carpenter escape la sequel escape new york. time death working film last two men pulled rubble twin towers following september terror attacks . also co-producing remake fog due release early next year.
politics,royal couple watch nation mood prince charles camilla parker bowles awaiting nation reaction announcing married april. mrs parker bowles take title hrh duchess cornwall civil ceremony held windsor castle. daily telegraph poll people suggests two-thirds britons support couple decision marry. % think mrs parker bowles become princess consort planned charles becomes king. % believe title % think become queen. poll also found majority britons would prefer monarchy miss generation queen handing throne grandson prince william death abdication. thursday night prince charles mrs parker bowles hosted dinner windsor castle first public appearance since announcing engagement. mrs parker bowles said prince went one knee propose added: coming earth. displayed diamond engagement ring royal family heirloom reporters. charles said wife-to-be absolutely delighted marriage end years speculation relationship dates back . queen duke edinburgh said news made happy princes william harry said happy wish couple luck future wedding civil ceremony followed service prayer dedication st george chapel archbishop canterbury dr rowan williams preside. marriage likely sensitive issue mrs parker bowles divorced former husband still alive. became king charles would supreme governor church england anglicans remain opposed remarriage divorcees. divorce diana disappointment country felt diana treated... opened sense disillusionment [prince charles] said ros coward wrote authorised biography diana princess wales. archbishop canterbury said: pleased prince charles mrs camilla parker bowles decided take important step. tony blair said delighted couple offered congratulations conservative leader michael howard liberal democrat leader charles kennedy. australia prime minister john howard also offered congratulations adding decision marry sensible good thing mrs parker bowles joined prince numerous engagements recent years mostly evening events prince trust. clarence house staff pains point attended events private capacity.
